Cluster,Data,CapInst_acum
cluster_NE_2,2019-03,5441.02
cluster_NE_2,2019-04,5581.02
cluster_NE_2,2019-05,5581.02
cluster_NE_2,2019-06,5581.02
cluster_NE_2,2019-07,5581.02
cluster_NE_2,2019-08,5610.42
cluster_NE_2,2019-09,5636.42
cluster_NE_2,2019-10,5646.42
cluster_NE_2,2019-11,5680.42
cluster_NE_2,2019-12,5680.42
cluster_NE_2,2020-01,5700.42
cluster_NE_2,2020-02,5720.42
cluster_NE_2,2020-03,5720.42
cluster_NE_2,2020-04,5720.42
cluster_NE_2,2020-05,5770.82
cluster_NE_2,2020-06,5821.22
cluster_NE_2,2020-07,5871.62
cluster_NE_2,2020-08,5871.62
cluster_NE_2,2020-09,5985.02
cluster_NE_2,2020-10,6018.62
cluster_NE_2,2020-11,6247.205
cluster_NE_2,2020-12,6670.025
cluster_NE_2,2021-01,6742.025
cluster_NE_2,2021-02,6797.225
cluster_NE_2,2021-03,6985.775
cluster_NE_2,2021-04,7148.825
cluster_NE_2,2021-05,7298.525
cluster_NE_2,2021-06,7369.925
cluster_NE_2,2021-07,7426.025
cluster_NE_2,2021-08,7480.625
cluster_NE_2,2021-09,7539.425
cluster_NE_2,2021-10,7539.425
cluster_NE_2,2021-11,7673.825
cluster_NE_2,2021-12,7934.025
cluster_NE_2,2022-01,8055.825
cluster_NE_2,2022-02,8293.125
cluster_NE_2,2022-03,8312.025
cluster_NE_2,2022-04,8312.025
cluster_NE_2,2022-05,8355.225
cluster_NE_2,2022-06,8409.325
cluster_NE_2,2022-07,8669.625
cluster_NE_2,2022-08,9092.995
cluster_NE_2,2022-09,9193.795
cluster_NE_2,2022-10,9286.695
cluster_NE_2,2022-11,9518.105
cluster_NE_2,2022-12,9793.905
cluster_NE_2,2023-01,10046.285
cluster_NE_2,2023-02,10461.385
cluster_NE_2,2023-03,10715.185
cluster_NE_2,2023-04,10794.985
cluster_NE_2,2023-05,10992.085
cluster_NE_2,2023-06,11341.985
cluster_NE_2,2023-07,11582.085
cluster_NE_2,2023-08,11769.385
cluster_NE_2,2023-09,11769.385
cluster_NE_2,2023-10,11898.685
cluster_NE_2,2023-11,11972.785
cluster_NE_2,2023-12,12152.785
cluster_NE_2,2024-01,12152.785
