Cluster,data_hora,vento_medio
cluster_NE_1,1990-08-01,8.29824646302686
cluster_NE_1,1990-09-01,8.15084529517878
cluster_NE_1,1990-10-01,8.1009872600094
cluster_NE_1,1990-11-01,7.3931008175087
cluster_NE_1,1990-12-01,6.85835402804265
cluster_NE_1,1991-01-01,5.91340514495631
cluster_NE_1,1991-02-01,5.89228994735583
cluster_NE_1,1991-03-01,5.84425257780119
cluster_NE_1,1991-04-01,5.82414727505456
cluster_NE_1,1991-05-01,6.80926761281727
cluster_NE_1,1991-06-01,7.66105240743921
cluster_NE_1,1991-07-01,8.38019660038541
cluster_NE_1,1991-08-01,8.85665796734206
cluster_NE_1,1991-09-01,8.22421586371476
cluster_NE_1,1991-10-01,8.38687146159547
cluster_NE_1,1991-11-01,6.83019425888419
cluster_NE_1,1991-12-01,6.72568275401483
cluster_NE_1,1992-01-01,6.18351593545344
cluster_NE_1,1992-02-01,6.67920113763098
cluster_NE_1,1992-03-01,6.80949156023115
cluster_NE_1,1992-04-01,6.32158943479202
cluster_NE_1,1992-05-01,6.88168273405669
cluster_NE_1,1992-06-01,7.71583890530905
cluster_NE_1,1992-07-01,7.92774216546277
cluster_NE_1,1992-08-01,8.13767213122274
cluster_NE_1,1992-09-01,8.4514677786461
cluster_NE_1,1992-10-01,7.98251742743118
cluster_NE_1,1992-11-01,7.32154438168004
cluster_NE_1,1992-12-01,6.78114941972431
cluster_NE_1,1993-01-01,6.4643221943443
cluster_NE_1,1993-02-01,6.40840133545505
cluster_NE_1,1993-03-01,6.59742514187577
cluster_NE_1,1993-04-01,6.44192809524685
cluster_NE_1,1993-05-01,7.31255917358657
cluster_NE_1,1993-06-01,7.74929278855919
cluster_NE_1,1993-07-01,7.8008726022713
cluster_NE_1,1993-08-01,7.92710438779743
cluster_NE_1,1993-09-01,7.48874901288034
cluster_NE_1,1993-10-01,8.09790312292371
cluster_NE_1,1993-11-01,7.67856633028776
cluster_NE_1,1993-12-01,6.97743689811232
cluster_NE_1,1994-01-01,5.38856138076668
cluster_NE_1,1994-02-01,5.59495527795328
cluster_NE_1,1994-03-01,5.14219311908305
cluster_NE_1,1994-04-01,5.86571373717333
cluster_NE_1,1994-05-01,6.73678882953301
cluster_NE_1,1994-06-01,6.7857664753587
cluster_NE_1,1994-07-01,7.94799740541482
cluster_NE_1,1994-08-01,8.1173181315933
cluster_NE_1,1994-09-01,8.65302733174142
cluster_NE_1,1994-10-01,8.316901322411
cluster_NE_1,1994-11-01,7.48936675931706
cluster_NE_1,1994-12-01,7.13135086931297
cluster_NE_1,1995-01-01,6.04576965584511
cluster_NE_1,1995-02-01,5.16323396365387
cluster_NE_1,1995-03-01,5.48822297745754
cluster_NE_1,1995-04-01,5.4322099714752
