Cluster,Data,CapInst_acum
cluster_NE_1,2017-01,8413.345
cluster_NE_1,2017-02,8461.645
cluster_NE_1,2017-03,8539.645
cluster_NE_1,2017-04,8569.345
cluster_NE_1,2017-05,8624.345
cluster_NE_1,2017-06,8865.245
cluster_NE_1,2017-07,9122.045
cluster_NE_1,2017-08,9355.945
cluster_NE_1,2017-09,9468.145
cluster_NE_1,2017-10,9682.945
cluster_NE_1,2017-11,10011.845
cluster_NE_1,2017-12,10290.445
cluster_NE_1,2018-01,10360.345
cluster_NE_1,2018-02,10413.745
cluster_NE_1,2018-03,10474.845
cluster_NE_1,2018-04,10679.845
cluster_NE_1,2018-05,10799.445
cluster_NE_1,2018-06,11011.345
cluster_NE_1,2018-07,11041.045
cluster_NE_1,2018-08,11100.445
cluster_NE_1,2018-09,11276.445
cluster_NE_1,2018-10,11392.545
cluster_NE_1,2018-11,11648.445
cluster_NE_1,2018-12,12335.395
cluster_NE_1,2019-01,12516.195
cluster_NE_1,2019-02,12709.195
cluster_NE_1,2019-03,12826.695
cluster_NE_1,2019-04,12989.795
cluster_NE_1,2019-05,12989.795
cluster_NE_1,2019-06,12989.795
cluster_NE_1,2019-07,12989.795
cluster_NE_1,2019-08,13019.195
cluster_NE_1,2019-09,13045.195
cluster_NE_1,2019-10,13152.395
cluster_NE_1,2019-11,13186.395
cluster_NE_1,2019-12,13277.955
cluster_NE_1,2020-01,13297.955
cluster_NE_1,2020-02,13380.325
cluster_NE_1,2020-03,13405.525
cluster_NE_1,2020-04,13477.975
cluster_NE_1,2020-05,13710.625
cluster_NE_1,2020-06,13827.925
cluster_NE_1,2020-07,13958.125
cluster_NE_1,2020-08,13995.925
cluster_NE_1,2020-09,14141.275
cluster_NE_1,2020-10,14251.105
cluster_NE_1,2020-11,14479.69
cluster_NE_1,2020-12,15031.48
cluster_NE_1,2021-01,15263.08
cluster_NE_1,2021-02,15379.63
cluster_NE_1,2021-03,15712.69
cluster_NE_1,2021-04,15998.695
cluster_NE_1,2021-05,16148.395
cluster_NE_1,2021-06,16486.455
cluster_NE_1,2021-07,16755.855
cluster_NE_1,2021-08,17180.59
cluster_NE_1,2021-09,17458.085
cluster_NE_1,2021-10,17740.535
cluster_NE_1,2021-11,18139.9
cluster_NE_1,2021-12,18889.89
cluster_NE_1,2022-01,19122.14
cluster_NE_1,2022-02,19489.64
cluster_NE_1,2022-03,19508.54
cluster_NE_1,2022-04,19567.34
cluster_NE_1,2022-05,19711.34
cluster_NE_1,2022-06,19765.44
cluster_NE_1,2022-07,20053.46
cluster_NE_1,2022-08,20586.345
cluster_NE_1,2022-09,20711.4
cluster_NE_1,2022-10,20804.3
cluster_NE_1,2022-11,21035.71
