Cluster,Data,CapInst_acum
cluster_NE_1,2017-01,5204.81
cluster_NE_1,2017-02,5204.81
cluster_NE_1,2017-03,5234.51
cluster_NE_1,2017-04,5264.21
cluster_NE_1,2017-05,5264.21
cluster_NE_1,2017-06,5447.81
cluster_NE_1,2017-07,5447.81
cluster_NE_1,2017-08,5447.81
cluster_NE_1,2017-09,5510.81
cluster_NE_1,2017-10,5542.31
cluster_NE_1,2017-11,5588.51
cluster_NE_1,2017-12,5746.81
cluster_NE_1,2018-01,5786.71
cluster_NE_1,2018-02,5811.91
cluster_NE_1,2018-03,5873.01
cluster_NE_1,2018-04,5873.01
cluster_NE_1,2018-05,5992.61
cluster_NE_1,2018-06,6032.51
cluster_NE_1,2018-07,6032.51
cluster_NE_1,2018-08,6032.51
cluster_NE_1,2018-09,6032.51
cluster_NE_1,2018-10,6032.51
cluster_NE_1,2018-11,6032.51
cluster_NE_1,2018-12,6284.51
cluster_NE_1,2019-01,6388.81
cluster_NE_1,2019-02,6451.81
cluster_NE_1,2019-03,6451.81
cluster_NE_1,2019-04,6474.91
cluster_NE_1,2019-05,6474.91
cluster_NE_1,2019-06,6474.91
cluster_NE_1,2019-07,6474.91
cluster_NE_1,2019-08,6474.91
cluster_NE_1,2019-09,6474.91
cluster_NE_1,2019-10,6474.91
cluster_NE_1,2019-11,6474.91
cluster_NE_1,2019-12,6566.47
cluster_NE_1,2020-01,6566.47
cluster_NE_1,2020-02,6628.84
cluster_NE_1,2020-03,6654.04
cluster_NE_1,2020-04,6726.49
cluster_NE_1,2020-05,6908.74
cluster_NE_1,2020-06,6975.64
cluster_NE_1,2020-07,7055.44
cluster_NE_1,2020-08,7093.24
cluster_NE_1,2020-09,7125.19
cluster_NE_1,2020-10,7201.42
cluster_NE_1,2020-11,7201.42
cluster_NE_1,2020-12,7330.39
cluster_NE_1,2021-01,7489.99
cluster_NE_1,2021-02,7551.34
cluster_NE_1,2021-03,7695.85
cluster_NE_1,2021-04,7818.805
cluster_NE_1,2021-05,7818.805
cluster_NE_1,2021-06,8085.465
cluster_NE_1,2021-07,8298.765
cluster_NE_1,2021-08,8668.9
cluster_NE_1,2021-09,8887.595
cluster_NE_1,2021-10,9170.045
cluster_NE_1,2021-11,9435.01
cluster_NE_1,2021-12,9770.8
cluster_NE_1,2022-01,9881.25
cluster_NE_1,2022-02,10011.45
cluster_NE_1,2022-03,10011.45
cluster_NE_1,2022-04,10070.25
cluster_NE_1,2022-05,10171.05
cluster_NE_1,2022-06,10171.05
cluster_NE_1,2022-07,10198.77
cluster_NE_1,2022-08,10308.285
cluster_NE_1,2022-09,10332.54
cluster_NE_1,2022-10,10332.54
cluster_NE_1,2022-11,10332.54
cluster_NE_1,2022-12,10731.54
cluster_NE_1,2023-01,10857.54
cluster_NE_1,2023-02,10975.14
cluster_NE_1,2023-03,11080.54
cluster_NE_1,2023-04,11167.34
cluster_NE_1,2023-05,11345.74
cluster_NE_1,2023-06,11379.34
cluster_NE_1,2023-07,11645.34
cluster_NE_1,2023-08,11966.74
cluster_NE_1,2023-09,12012.94
cluster_NE_1,2023-10,12062.54
cluster_NE_1,2023-11,12062.54
cluster_NE_1,2023-12,12277.14
cluster_NE_1,2024-01,12277.14
cluster_NE_1,2024-02,12277.14
cluster_NE_1,2024-03,12277.14
cluster_NE_1,2024-04,12301.395
cluster_NE_1,2024-05,12301.395
cluster_NE_1,2024-06,12301.395
cluster_NE_1,2024-07,12301.395
cluster_NE_1,2024-08,12301.395
cluster_NE_1,2024-09,12301.395
cluster_NE_1,2024-10,12301.395
cluster_NE_1,2024-11,12301.395
cluster_NE_1,2024-12,12674.195
cluster_NE_1,2025-01,12674.195
cluster_NE_1,2025-02,12674.195
cluster_NE_1,2025-03,12674.195
cluster_NE_1,2025-04,12674.195
cluster_NE_1,2025-05,12674.195
cluster_NE_1,2025-06,13073.395
cluster_NE_1,2025-07,13073.395
cluster_NE_1,2025-08,13073.395
cluster_NE_1,2025-09,13073.395
cluster_NE_1,2025-10,13073.395
cluster_NE_1,2025-11,13073.395
cluster_NE_1,2025-12,13117.395
cluster_NE_1,2026-01,13117.395
cluster_NE_1,2026-02,13117.395
cluster_NE_1,2026-03,13117.395
cluster_NE_1,2026-04,13117.395
cluster_NE_1,2026-05,13117.395
cluster_NE_1,2026-06,13117.395
cluster_NE_1,2026-07,13117.395
cluster_NE_1,2026-08,13117.395
cluster_NE_1,2026-09,13117.395
cluster_NE_1,2026-10,13117.395
cluster_NE_1,2026-11,13117.395
cluster_NE_1,2026-12,13117.395
cluster_NE_2,2017-01,2324.785
cluster_NE_2,2017-02,2324.785
cluster_NE_2,2017-03,2324.785
cluster_NE_2,2017-04,2324.785
cluster_NE_2,2017-05,2324.785
cluster_NE_2,2017-06,2324.785
cluster_NE_2,2017-07,2324.785
