Cluster,data_hora,vento_medio
cluster_NE_2,1980-12-01,4.02202068702528
cluster_NE_2,1981-01-01,5.68217604492163
cluster_NE_2,1981-02-01,7.18891480870193
cluster_NE_2,1981-03-01,4.79635734347418
cluster_NE_2,1981-04-01,5.7906285853995
cluster_NE_2,1981-05-01,6.68657621988145
cluster_NE_2,1981-06-01,6.67503692344124
cluster_NE_2,1981-07-01,7.27316835518802
cluster_NE_2,1981-08-01,7.23662841176239
cluster_NE_2,1981-09-01,7.59412023815062
cluster_NE_2,1981-10-01,6.95100732004351
cluster_NE_2,1981-11-01,5.98740407806722
cluster_NE_2,1981-12-01,6.5525797952101
cluster_NE_2,1982-01-01,5.75738263754792
cluster_NE_2,1982-02-01,6.57574171566685
cluster_NE_2,1982-03-01,5.18264996561861
cluster_NE_2,1982-04-01,6.19107177322485
cluster_NE_2,1982-05-01,6.76692116549353
cluster_NE_2,1982-06-01,6.84418722187751
cluster_NE_2,1982-07-01,6.92265736236258
cluster_NE_2,1982-08-01,7.31497950305618
cluster_NE_2,1982-09-01,7.01200193467531
cluster_NE_2,1982-10-01,6.30455163660198
cluster_NE_2,1982-11-01,6.46854454112953
cluster_NE_2,1982-12-01,6.15782675751088
cluster_NE_2,1983-01-01,5.125821902789
cluster_NE_2,1983-02-01,5.5869224860518
cluster_NE_2,1983-03-01,5.80439557408975
cluster_NE_2,1983-04-01,6.33489171310431
cluster_NE_2,1983-05-01,6.41640565980087
cluster_NE_2,1983-06-01,6.59243294305146
cluster_NE_2,1983-07-01,6.74962484232906
cluster_NE_2,1983-08-01,6.98542729511775
cluster_NE_2,1983-09-01,7.47961437269888
cluster_NE_2,1983-10-01,7.21525443903203
cluster_NE_2,1983-11-01,5.29184421866067
cluster_NE_2,1983-12-01,5.56125493498043
cluster_NE_2,1984-01-01,5.7527128956138
cluster_NE_2,1984-02-01,6.75862713834285
cluster_NE_2,1984-03-01,4.87012983672495
cluster_NE_2,1984-04-01,5.96936023999048
cluster_NE_2,1984-05-01,6.45440148201048
cluster_NE_2,1984-06-01,6.7957937373332
cluster_NE_2,1984-07-01,7.26511608935652
cluster_NE_2,1984-08-01,7.27493521954948
cluster_NE_2,1984-09-01,6.91043608898694
cluster_NE_2,1984-10-01,7.13404926391277
cluster_NE_2,1984-11-01,6.45798089063572
cluster_NE_2,1984-12-01,5.49843042730386
cluster_NE_2,1985-01-01,4.35503681679236
cluster_NE_2,1985-02-01,5.47781901935015
cluster_NE_2,1985-03-01,4.96369399392588
cluster_NE_2,1985-04-01,5.63480068658611
cluster_NE_2,1985-05-01,6.40184279835333
cluster_NE_2,1985-06-01,5.8945032199346
cluster_NE_2,1985-07-01,7.91273890099648
cluster_NE_2,1985-08-01,7.2192997847287
cluster_NE_2,1985-09-01,7.19173011365379
cluster_NE_2,1985-10-01,5.7885044563353
cluster_NE_2,1985-11-01,6.06938468150401
cluster_NE_2,1985-12-01,4.81988134812285
cluster_NE_2,1986-01-01,5.47573542361869
cluster_NE_2,1986-02-01,5.48041827111722
cluster_NE_2,1986-03-01,5.86932894114269
cluster_NE_2,1986-04-01,5.73263223018881
cluster_NE_2,1986-05-01,6.68290379166724
cluster_NE_2,1986-06-01,7.30112759517504
cluster_NE_2,1986-07-01,6.82385481952756
cluster_NE_2,1986-08-01,6.76674721300828
cluster_NE_2,1986-09-01,7.97908377943219
cluster_NE_2,1986-10-01,6.66203853726461
cluster_NE_2,1986-11-01,7.1727996474349
cluster_NE_2,1986-12-01,5.86649769381563
cluster_NE_2,1987-01-01,5.65864600538891
cluster_NE_2,1987-02-01,6.72672814233028
cluster_NE_2,1987-03-01,4.8456867975833
cluster_NE_2,1987-04-01,5.89802393270908
cluster_NE_2,1987-05-01,5.85115914876034
cluster_NE_2,1987-06-01,6.61344250906521
cluster_NE_2,1987-07-01,6.73102864978437
cluster_NE_2,1987-08-01,6.74345692129712
cluster_NE_2,1987-09-01,7.1661224447912
cluster_NE_2,1987-10-01,6.19350508423607
cluster_NE_2,1987-11-01,5.95412442539898
cluster_NE_2,1987-12-01,5.45156947223004
cluster_NE_2,1988-01-01,5.66177530671706
cluster_NE_2,1988-02-01,5.02009359832658
cluster_NE_2,1988-03-01,4.46392675872597
cluster_NE_2,1988-04-01,5.58032013165968
cluster_NE_2,1988-05-01,5.96345097214062
cluster_NE_2,1988-06-01,6.94885865772275
cluster_NE_2,1988-07-01,7.60335780121139
cluster_NE_2,1988-08-01,7.56850388917221
cluster_NE_2,1988-09-01,7.72889614565117
cluster_NE_2,1988-10-01,6.6410598886754
cluster_NE_2,1988-11-01,6.21100514864021
cluster_NE_2,1988-12-01,4.86857950460372
cluster_NE_2,1989-01-01,5.59833305350399
cluster_NE_2,1989-02-01,4.78799290968713
cluster_NE_2,1989-03-01,5.33356883284392
cluster_NE_2,1989-04-01,5.84244128563278
cluster_NE_2,1989-05-01,6.49092869680599
cluster_NE_2,1989-06-01,6.32412291854849
cluster_NE_2,1989-07-01,6.63331646436315
cluster_NE_2,1989-08-01,7.51071563671922
cluster_NE_2,1989-09-01,6.85582516773205
cluster_NE_2,1989-10-01,6.81945350448206
cluster_NE_2,1989-11-01,5.66639595412024
cluster_NE_2,1989-12-01,5.24479940624456
cluster_NE_2,1990-01-01,6.14938544167388
