cluster,data_hora,vento
cluster_NE_1,1988-09-01,9.32989847571984
cluster_NE_1,1988-10-01,8.68383272412689
cluster_NE_1,1988-11-01,8.32430988116773
cluster_NE_1,1988-12-01,6.58577328528412
cluster_NE_1,1989-01-01,6.70798814533476
cluster_NE_1,1989-02-01,6.57625617013722
cluster_NE_1,1989-03-01,4.73019448164274
cluster_NE_1,1989-04-01,3.7564161318158
cluster_NE_1,1989-05-01,5.25363707548279
cluster_NE_1,1989-06-01,6.74212576536927
cluster_NE_1,1989-07-01,6.87571191930581
cluster_NE_1,1989-08-01,8.3846060538203
cluster_NE_1,1989-09-01,8.42258298000297
cluster_NE_1,1989-10-01,8.67210923302452
cluster_NE_1,1989-11-01,8.09291532580651
cluster_NE_1,1989-12-01,6.63257945392471
cluster_NE_1,1990-01-01,7.93552654775088
cluster_NE_1,1990-02-01,5.61899399766999
cluster_NE_1,1990-03-01,7.00995216557384
cluster_NE_1,1990-04-01,6.65375650966194
cluster_NE_1,1990-05-01,6.88943599511624
cluster_NE_1,1990-06-01,8.08892167683393
cluster_NE_1,1990-07-01,7.54661837223391
cluster_NE_1,1990-08-01,8.87524220734096
cluster_NE_1,1990-09-01,8.71566613880227
cluster_NE_1,1990-10-01,8.95618628593476
cluster_NE_1,1990-11-01,8.34073103382922
cluster_NE_1,1990-12-01,7.74729291663036
cluster_NE_1,1991-01-01,6.49477057804063
cluster_NE_1,1991-02-01,6.12088546891728
cluster_NE_1,1991-03-01,5.62835506224402
cluster_NE_1,1991-04-01,5.67163756432255
cluster_NE_1,1991-05-01,6.25447269808349
cluster_NE_1,1991-06-01,7.81435996223488
cluster_NE_1,1991-07-01,8.65576397039195
cluster_NE_1,1991-08-01,9.18222232898345
cluster_NE_1,1991-09-01,9.05545806700765
cluster_NE_1,1991-10-01,8.78105285335528
cluster_NE_1,1991-11-01,7.91831173113586
cluster_NE_1,1991-12-01,7.62081083928487
cluster_NE_1,1992-01-01,6.40228396696508
cluster_NE_1,1992-02-01,6.7606782861048
cluster_NE_1,1992-03-01,6.7020807219928
cluster_NE_1,1992-04-01,7.01086399556044
cluster_NE_1,1992-05-01,7.66369249240244
cluster_NE_1,1992-06-01,8.04098931487374
cluster_NE_1,1992-07-01,8.45674481845666
cluster_NE_1,1992-08-01,8.96138978591948
cluster_NE_1,1992-09-01,9.27477735564642
cluster_NE_1,1992-10-01,9.0735246284441
cluster_NE_1,1992-11-01,8.50814700717887
cluster_NE_1,1992-12-01,8.10860236398093
cluster_NE_1,1993-01-01,7.47487020334804
cluster_NE_1,1993-02-01,7.25197511358251
cluster_NE_1,1993-03-01,6.93046509631352
cluster_NE_1,1993-04-01,7.18744494228792
cluster_NE_1,1993-05-01,7.69734226993643
cluster_NE_1,1993-06-01,8.35759672796545
cluster_NE_1,1993-07-01,8.49729930112994
cluster_NE_1,1993-08-01,8.72645523749294
